Year,AMPANG JAYA,BALAKONG,BATU ARANG,BERANANG,BUKIT TINGGI,GOMBAK,KAJANG,KLANG,PETALING JAYA,RAWANG,SELAYANG,SEMENYIH,SERENDAH,SHAH ALAM,SUBANG JAYA
2012,105,105,105,105,101.8,105,105,105,104.05,105,105,105,105,105,105
2013,107.1,107.1,107.1,107.1,104.14,107.1,107.1,107.1,105.35,107.1,107.1,107.1,107.1,107.1,107.1
2014,110.85,110.85,110.85,110.85,107.27,110.85,110.85,110.85,109.15,110.85,110.85,110.85,110.85,110.85,110.85
2015,114.35,114.35,114.35,114.35,108.98,114.35,114.35,114.35,113,114.35,114.35,114.35,114.35,114.35,114.35
2016,116.18,116.18,116.18,116.18,110.94,116.18,116.18,116.18,115.83,116.18,116.18,116.18,116.18,116.18,116.18
2017,120.25,120.25,120.25,120.25,114.6,120.25,120.25,120.25,120.23,120.25,120.25,120.25,120.25,120.25,120.25
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
